temp,humidity,rainfall,cases,date
35,61,0,195,2000-12-02
33,68,5,442,2001-02-16
35,40,0,440,2001-11-25
27,41,0,184,2000-01-07
24,47,0,0,2000-10-14
39,62,0,0,2000-08-25
24,68,0,437,2001-08-20
33,38,0,143,2000-03-05
30,72,6,379,2001-06-29
20,52,0,130,2000-11-10
24,55,1,71,2000-05-01
31,47,3,112,2000-01-21
21,54,0,524,2001-01-22
32,36,1,270,2000-04-02
29,71,0,412,2000-09-02
33,66,0,111,2000-01-04
29,64,5,94,2001-10-08
37,65,0,0,2001-05-26
24,46,5,38,2001-07-12
20,37,0,507,2001-02-23
20,41,0,73,2001-06-30
40,68,0,274,2001-07-07
27,54,0,273,2001-07-15
34,36,6,61,2000-12-21
25,62,0,109,2000-10-21
32,63,0,61,2001-11-04
31,75,2,60,2000-04-03
31,75,0,570,2001-01-07
29,74,0,365,2000-11-16
37,62,0,560,2001-01-19
38,57,3,0,2000-04-09
21,71,0,416,2001-05-20
39,58,4,51,2001-02-02
26,72,0,370,2000-07-23
40,38,0,287,2000-12-15
27,63,0,454,2000-06-16
26,66,0,494,2000-08-21
29,49,0,25,2001-06-20
35,50,0,130,2000-06-20
39,75,0,144,2000-07-11
36,43,3,424,2001-03-31
21,68,0,3,2000-10-15
32,38,4,544,2000-09-05
24,51,0,0,2001-11-07
37,75,3,212,2000-04-17
20,63,1,0,2001-03-18
28,40,0,170,2001-08-30
28,50,0,107,2000-02-03
22,42,5,22,2001-02-22
39,71,0,118,2000-01-08
27,69,0,531,2001-02-23
33,39,1,514,2000-10-31
40,50,6,464,2001-03-08
37,56,2,0,2000-04-15
28,70,0,0,2001-03-01
28,40,1,5,2001-05-07
40,74,0,0,2000-09-25
33,73,2,368,2000-07-24
40,44,5,183,2000-04-17
38,74,4,468,2000-08-13
20,38,0,0,2000-05-10
32,41,0,344,2000-12-19
39,63,0,472,2001-08-08
30,52,0,373,2001-12-03
28,40,0,515,2000-06-12
30,52,0,355,2000-03-20
32,69,0,7,2000-01-11
36,62,0,390,2000-01-10
31,59,0,565,2001-11-27
31,69,0,0,2000-07-31
34,62,2,122,2001-11-26
22,60,3,157,2000-09-09
40,58,0,523,2001-01-11
37,52,0,158,2000-12-23
35,54,0,363,2000-10-26
30,48,0,114,2001-10-28
39,75,0,141,2001-07-22
27,68,1,509,2001-01-05
21,38,0,530,2001-04-04
21,55,6,92,2001-06-03
36,64,0,569,2001-07-03
33,73,0,163,2000-05-20
37,66,1,529,2000-05-13
38,68,5,122,2001-06-19
26,52,2,128,2001-10-22
25,65,0,0,2000-01-25
31,48,5,0,2001-06-06
28,48,3,338,2000-04-24
28,44,0,413,2001-07-29
28,49,6,0,2000-06-18
23,50,0,22,2000-07-29
32,72,4,7,2000-02-12
29,67,4,138,2000-09-10
24,60,0,410,2000-11-28
20,43,0,529,2001-03-02
37,46,6,431,2001-02-05
33,64,4,214,2000-12-02
34,57,0,222,2001-11-03
24,67,5,490,2000-05-07
39,69,0,137,2000-12-12
39,48,0,340,2001-11-22
33,41,6,545,2001-04-10
34,58,0,573,2000-08-04
37,40,0,444,2000-02-29
25,75,0,0,2001-05-19
38,41,0,584,2000-12-20
37,47,0,539,2000-10-24
37,44,2,453,2000-03-21
31,51,0,580,2000-04-07
20,75,0,411,2000-04-16
24,43,0,594,2001-05-23
20,45,0,481,2001-02-08
32,49,0,0,2000-08-24
22,35,0,573,2001-01-26
32,43,3,128,2000-09-14
20,51,0,356,2000-09-04
35,66,0,312,2001-09-05
28,41,0,0,2000-03-24
22,65,0,63,2000-03-21
40,69,0,0,2001-06-29
30,54,3,0,2000-10-30
30,52,0,0,2000-01-03
39,60,0,555,2000-04-11
24,46,0,317,2001-08-03
32,43,4,0,2000-06-10
35,66,5,592,2000-08-17
34,62,0,558,2001-08-23
34,62,1,0,2000-01-01
38,49,4,308,2001-10-19
40,74,0,0,2000-07-25
22,70,0,388,2001-11-22
38,59,6,308,2000-08-14
32,65,2,65,2001-09-20
35,62,0,280,2000-06-26
39,45,5,261,2000-07-21
28,66,0,0,2000-10-11
29,56,0,135,2000-01-04
25,69,0,37,2000-12-18
30,54,0,313,2001-11-14
39,43,0,543,2000-12-31
36,66,4,90,2001-05-02
31,69,0,492,2001-10-18
23,53,0,0,2000-09-28
32,54,0,124,2001-07-20
32,63,0,137,2000-04-02
39,40,6,33,2000-12-24
26,43,0,389,2000-11-07
20,68,0,227,2000-04-27
25,47,2,0,2001-08-02
40,59,2,388,2000-03-04
21,62,0,310,2001-02-19
35,46,0,0,2000-06-19
24,64,0,191,2000-02-15
23,42,6,44,2000-11-02
37,53,0,424,2001-09-24
28,65,6,136,2001-09-06
23,48,0,24,2000-03-31
33,75,1,33,2000-05-27
23,42,0,420,2001-09-15
20,62,0,17,2001-03-11
37,52,0,11,2001-08-12
32,62,0,365,2000-01-30
29,38,0,0,2000-04-23
25,51,0,98,2001-07-21
25,75,0,140,2000-11-29
20,57,2,282,2000-05-29
38,69,3,149,2000-04-04
40,60,4,510,2000-07-06
38,45,2,365,2000-06-20
37,44,0,161,2000-03-14
21,52,0,208,2001-06-01
29,54,0,310,2000-02-07
32,36,0,187,2001-02-24
39,73,0,545,2000-02-25
31,73,2,327,2000-11-23
36,37,2,349,2000-01-27
22,71,3,530,2000-10-26
29,59,4,53,2001-11-05
24,64,4,575,2000-07-12
31,65,2,81,2000-02-15
38,64,6,100,2001-11-03
21,61,0,418,2001-03-09
34,47,0,85,2001-11-07
38,58,0,471,2000-07-13
29,70,0,249,2001-06-11
39,35,0,349,2000-05-01
31,38,0,62,2000-02-15
34,55,0,309,2000-06-16
31,58,5,312,2000-07-14
30,65,0,98,2000-03-08
24,64,2,389,2001-04-08
37,69,0,586,2001-04-11
33,48,5,80,2000-08-15
33,40,0,445,2001-06-27
26,38,3,551,2000-10-04
39,68,2,552,2000-08-19
34,52,0,0,2000-10-15
33,56,0,352,2000-12-18
27,44,5,476,2001-08-01
36,68,0,217,2000-05-09
24,74,1,592,2001-10-04
39,36,0,0,2001-11-28
38,59,0,422,2001-01-04
22,66,0,464,2001-07-14
29,61,0,419,2000-09-02
23,51,0,193,2001-02-14
36,36,3,342,2000-05-18
39,69,0,0,2001-08-31
38,66,4,519,2001-03-05
28,57,3,97,2000-03-10
36,39,2,0,2000-06-20
36,71,1,267,2000-01-31
24,65,0,208,2001-10-20
25,58,2,458,2001-09-11
27,42,1,109,2000-11-29
24,45,0,333,2001-05-14
37,59,0,187,2001-07-11
39,67,0,0,2001-09-12
20,66,0,563,2000-06-02
25,48,0,324,2001-08-15
20,35,0,106,2000-09-19
21,53,0,0,2000-01-05
31,43,4,471,2000-09-01
23,71,4,0,2001-10-21
38,56,0,170,2000-10-16
39,75,2,81,2000-09-15
33,70,0,569,2001-11-09
32,72,3,423,2000-12-19
21,43,0,46,2000-01-01
24,75,3,332,2001-06-16
34,52,4,256,2000-08-29
38,44,0,200,2000-07-04
20,69,1,0,2001-09-23
39,73,0,58,2000-04-04
34,36,0,0,2000-07-02
28,36,6,210,2000-11-22
23,47,0,240,2001-01-23
32,53,0,577,2001-08-05
22,46,0,454,2000-07-17
35,41,0,382,2000-02-20
23,58,0,95,2001-10-26
33,73,0,280,2001-10-28
29,56,0,480,2001-05-15
20,43,0,176,2001-11-01
24,53,0,0,2000-08-06
37,69,0,266,2000-01-22
31,75,1,331,2001-03-30
38,66,0,347,2001-09-08
38,48,1,367,2000-01-06
26,62,4,457,2001-10-24
22,40,1,93,2001-10-21
30,67,6,12,2000-12-09
28,61,0,37,2000-05-01
31,43,1,457,2001-11-25
31,61,0,212,2001-08-18
32,37,0,255,2001-01-02
36,50,0,529,2000-02-28
29,58,5,44,2000-06-29
20,53,0,347,2000-09-28
20,64,0,6,2000-04-03
30,70,0,153,2001-05-17
40,47,3,588,2000-09-05
27,45,0,550,2000-04-02
25,75,0,61,2001-06-08
28,38,2,0,2000-11-21
24,45,0,79,2000-09-21
27,56,0,62,2000-01-14
29,62,0,196,2001-11-14
28,43,0,286,2001-12-04
38,57,0,344,2000-06-16
32,63,2,540,2001-05-07
29,53,0,582,2000-04-19
32,53,0,131,2000-11-12
23,62,0,539,2001-06-06
26,59,0,194,2001-11-25
23,58,2,452,2000-08-06
38,63,2,215,2001-07-20
34,36,0,437,2000-09-13
39,64,5,43,2001-01-16
22,51,0,559,2001-10-18
29,35,6,254,2000-12-08
36,42,0,425,2000-09-07
26,68,0,275,2000-07-31
38,42,0,397,2001-08-06
24,67,2,0,2001-03-29
28,49,0,473,2000-02-19
38,65,0,0,2001-04-14
33,60,0,545,2000-06-29
36,37,0,224,2001-01-27
20,66,0,71,2001-10-06
27,60,0,380,2000-01-05
39,54,0,66,2000-09-25
22,57,0,408,2000-07-19
35,60,0,0,2001-12-05
28,55,2,282,2001-09-23
23,37,1,555,2000-03-09
21,64,5,477,2001-09-28
37,69,3,100,2000-10-28
27,59,0,209,2001-01-05
28,54,0,465,2001-10-05
34,43,0,454,2001-10-23
33,50,0,156,2000-06-15
25,65,1,346,2000-08-04
24,73,0,396,2000-12-31
27,60,1,101,2000-01-08
38,41,0,0,2001-04-27
32,55,0,152,2000-09-18
28,70,0,481,2000-09-21
40,40,5,0,2001-06-18
20,60,0,124,2001-01-03
39,58,1,81,2000-10-09
34,69,4,549,2000-08-01
30,47,0,194,2000-08-11
22,63,4,63,2001-02-03
23,63,0,418,2000-11-22
40,37,0,58,2001-02-25
27,48,0,68,2000-10-11
35,59,0,453,2001-06-29
28,41,4,237,2000-05-16
27,65,0,125,2001-07-11
22,48,3,358,2001-01-23
21,52,0,353,2001-04-18
31,37,1,513,2001-02-27
21,47,2,385,2000-08-06
21,43,0,279,2001-06-26
23,51,0,295,2000-06-16
37,45,0,126,2000-12-10
25,57,5,386,2001-02-05
32,56,0,355,2001-12-09
32,53,3,322,2001-11-28
34,49,0,154,2000-07-25
25,47,0,234,2001-02-15
21,42,1,240,2001-08-06
28,66,0,123,2000-05-19
23,71,0,0,2000-06-09
23,69,2,327,2000-04-02
33,48,0,0,2000-01-28
23,45,0,77,2001-05-12
29,54,3,386,2000-07-31
26,67,6,82,2001-11-02
35,56,0,396,2000-07-17
31,54,5,141,2000-05-20
30,37,0,341,2001-02-05
20,35,0,0,2000-07-28
24,67,0,0,2001-06-17
30,72,0,132,2000-03-08
39,66,0,161,2000-11-23
32,56,0,71,2000-11-21
26,38,3,0,2001-06-17
37,53,0,567,2000-03-26
39,67,0,214,2001-02-05
22,37,3,243,2000-05-30
30,67,0,306,2001-04-08
40,70,1,228,2001-06-04
31,42,0,557,2001-07-26
23,36,0,459,2000-12-21
32,46,0,435,2001-06-27
25,35,0,589,2001-06-22
32,43,0,47,2000-02-06
28,63,0,6,2001-03-03
35,75,0,547,2000-07-08
23,70,1,401,2001-09-20
32,41,0,281,2001-09-14
35,75,6,9,2001-01-17
35,54,0,329,2000-07-24
38,41,0,563,2001-06-12
37,62,0,268,2000-03-10
20,35,0,446,2000-09-26
30,53,3,199,2001-07-07
31,60,1,488,2000-10-06
38,41,0,566,2000-06-06
20,44,0,539,2000-05-14
39,38,2,13,2001-05-07
38,70,0,0,2000-04-10
24,46,0,58,2001-01-25
28,41,0,327,2001-11-11
29,65,0,0,2000-11-26
21,35,0,558,2000-09-01
23,49,0,61,2000-04-09
34,36,4,475,2000-04-07
32,71,0,453,2001-08-21
32,75,0,250,2001-08-12
31,45,0,213,2000-11-11
27,60,0,199,2000-01-31
39,39,2,88,2000-06-11
38,75,0,146,2000-01-30
40,36,0,294,2000-11-13
21,47,0,539,2001-03-15
21,41,0,139,2001-12-04
38,74,0,580,2000-02-29
25,44,4,46,2000-07-20
25,56,0,472,2000-02-10
34,64,0,389,2000-09-12
24,45,0,52,2000-09-27
20,39,4,345,2001-06-17
31,72,0,542,2000-07-30
30,37,0,0,2001-05-14
20,38,0,192,2000-03-26
37,59,0,0,2000-02-11
31,66,4,0,2001-03-16
23,52,0,406,2001-07-01
37,51,0,289,2001-01-18
27,58,0,0,2001-06-09
20,36,0,362,2001-04-03
39,68,3,88,2001-05-26
21,72,0,547,2001-07-31
34,56,2,579,2001-04-05
34,48,0,348,2001-04-06
20,63,0,366,2001-10-25
20,39,2,109,2001-07-12
22,50,0,437,2001-08-21
40,66,0,242,2000-03-31
27,35,3,564,2000-03-30
37,52,2,427,2001-10-19
34,72,1,377,2001-10-10
30,36,0,18,2001-10-18
32,55,0,561,2001-03-05
22,48,0,292,2001-04-18
38,62,0,524,2000-10-08
33,50,0,245,2001-05-19
37,44,4,595,2000-06-26
33,63,0,33,2001-09-30
24,50,0,132,2001-10-07
40,73,0,522,2000-10-08
40,64,0,0,2001-06-20
32,45,5,332,2001-06-09
20,43,6,0,2000-11-08
25,59,6,231,2000-11-12
22,57,0,507,2001-10-11
23,45,2,0,2001-06-13
39,43,3,248,2000-10-12
27,54,0,0,2000-10-16
34,75,0,239,2001-09-16
29,64,0,113,2001-10-09
24,64,0,93,2000-08-13
28,56,1,229,2000-07-07
28,72,3,6,2000-07-11
40,55,0,322,2001-06-20
24,35,0,112,2000-11-06
31,58,0,433,2000-09-07
24,48,0,569,2000-11-17
24,61,2,356,2001-09-27
33,47,0,393,2000-12-11
39,51,3,249,2000-12-01
30,65,0,500,2000-04-02
31,37,0,432,2001-11-21
31,73,0,38,2001-04-12
27,67,0,0,2001-09-29
37,70,0,59,2000-11-24
36,74,4,175,2000-03-01
37,45,1,130,2001-05-19
40,51,0,247,2000-02-15
22,75,0,215,2000-02-18
20,41,0,109,2000-02-24
35,48,0,430,2001-05-28
22,60,0,521,2000-07-29
23,65,0,597,2000-12-17
31,74,0,227,2001-06-17
37,51,3,523,2001-03-23
30,50,0,225,2001-05-23
37,57,0,583,2000-05-24
23,43,0,0,2001-04-29
37,36,0,570,2000-04-22
39,56,0,374,2000-04-06
34,40,5,585,2000-07-17
36,40,6,0,2001-09-19
23,41,0,380,2000-08-21
22,61,0,543,2000-04-27
27,74,0,435,2001-06-24
34,71,0,246,2001-10-11
25,50,4,553,2001-09-10
24,36,1,600,2001-01-28
29,51,0,413,2000-04-14
32,43,0,0,2000-03-05
24,40,1,135,2000-06-14
33,61,0,24,2000-06-17
27,75,2,195,2000-05-17
37,65,3,0,2000-05-23
38,71,0,80,2000-06-26
34,39,0,431,2001-10-02
40,68,0,240,2000-05-31
36,64,0,598,2000-09-23
34,49,0,56,2001-08-19
20,49,3,101,2001-05-24
38,49,0,0,2000-11-03
20,39,0,361,2000-08-07
35,38,6,52,2000-08-03
22,70,1,520,2001-04-06
31,47,1,297,2000-01-28
31,44,0,411,2000-03-24
37,37,5,0,2000-05-05
23,48,0,551,2000-11-11
29,72,0,316,2000-09-02
21,39,2,546,2001-05-21
30,62,0,437,2001-07-02
28,54,0,354,2000-03-03
32,56,4,297,2000-08-04
25,72,6,127,2001-06-29
20,67,0,323,2000-12-23
22,53,0,5,2001-03-12
35,45,5,362,2001-09-19
39,52,0,595,2001-11-08
39,75,0,60,2000-03-22
21,70,0,211,2001-08-21
37,54,0,76,2001-08-07
34,53,6,503,2000-02-14
39,39,0,477,2001-03-31
25,71,1,384,2000-02-27
28,36,0,28,2000-11-17
31,64,0,208,2000-07-11
23,37,0,272,2000-09-11
36,59,0,557,2000-03-25
39,41,0,499,2000-08-13
37,65,0,267,2001-04-18
21,72,0,354,2000-03-23
37,67,0,588,2001-07-12
31,73,0,279,2001-04-16
31,72,0,30,2001-09-01
36,40,0,230,2001-08-01
34,44,0,405,2000-12-27
21,63,3,528,2001-09-20
31,64,0,18,2001-11-29
40,65,6,448,2001-04-21
28,64,3,109,2000-12-17
33,64,0,0,2000-04-26
29,54,1,421,2001-03-20
37,54,0,70,2001-07-18
22,40,0,527,2001-04-10
31,67,2,534,2000-01-03
37,65,0,153,2000-05-23
30,62,0,144,2000-07-05
23,57,2,253,2001-07-11
28,55,0,408,2001-01-11
29,45,0,400,2000-07-11
39,53,0,55,2001-04-06
31,40,0,479,2000-01-23
25,75,0,279,2001-10-05
34,75,0,223,2001-03-20
28,38,0,254,2000-10-14
34,57,4,381,2000-06-15
20,48,0,134,2000-02-26
22,73,2,319,2000-09-18
29,72,2,343,2001-04-03
38,54,0,144,2000-08-09
29,44,3,102,2000-10-31
36,41,0,285,2000-01-08
20,40,5,226,2000-11-14
28,74,4,221,2000-08-13
34,66,1,0,2001-02-14
39,54,0,584,2000-07-05
34,66,0,203,2001-03-01
32,71,0,63,2000-11-24
27,62,0,197,2001-10-06
24,71,0,141,2000-09-25
40,67,1,0,2000-07-18
40,51,0,364,2000-06-27
38,42,0,495,2000-02-12
36,44,0,387,2000-11-01
31,38,0,0,2001-09-27
37,66,0,330,2000-01-11
40,67,0,414,2001-06-15
23,39,0,269,2000-09-22
27,57,0,142,2000-08-04
39,42,0,185,2000-09-18
40,42,0,35,2001-03-26
36,40,0,26,2000-10-12
33,73,0,87,2001-03-25
38,73,0,165,2001-09-15
29,64,0,164,2000-03-05
32,52,0,102,2001-04-03
29,57,6,308,2000-06-22
39,42,0,222,2001-04-02
32,64,1,0,2001-08-01
24,71,0,532,2001-04-03
34,50,2,536,2000-04-02
38,53,2,99,2000-06-11
33,58,0,535,2000-10-26
25,62,0,362,2001-11-24
0,0,0,0,0000-00-00
30,65,0,0,2003-08-14
21,72,0,580,2002-05-06
24,47,2,0,2003-01-24
33,65,5,34,2002-07-06
36,45,0,442,2002-09-26
33,38,0,565,2003-06-07
36,35,0,469,2002-04-28
26,37,0,231,2002-09-26
29,61,0,562,2002-10-30
36,75,0,547,2003-06-07
27,53,0,223,2003-05-22
31,55,5,129,2002-01-27
37,69,0,74,2002-02-24
27,42,1,102,2003-07-08
24,56,0,440,2003-08-29
29,45,6,84,2003-08-16
34,72,0,323,2003-02-19
40,41,0,102,2002-12-19
31,68,6,0,2003-08-24
37,63,0,93,2003-12-08
26,43,4,146,2003-11-12
36,68,0,173,2002-05-25
34,55,0,102,2003-08-20
32,61,0,511,2002-03-26
23,73,5,420,2002-12-07
25,59,0,389,2003-06-01
38,69,2,136,2003-09-19
32,66,6,168,2002-03-07
24,69,0,471,2003-09-15
23,45,0,400,2002-03-15
21,49,1,393,2002-09-04
29,70,0,0,2003-11-29
39,60,0,557,2002-08-04
26,44,0,321,2003-08-04
36,68,0,210,2003-02-26
33,46,0,465,2002-02-07
33,69,3,0,2002-01-22
20,71,0,411,2003-03-26
32,52,0,0,2003-05-03
25,67,3,522,2002-04-13
28,63,0,126,2003-08-31
24,72,0,330,2002-11-29
33,64,4,243,2002-12-25
27,74,0,370,2003-10-25
23,74,0,235,2002-12-12
32,44,0,148,2003-06-22
20,38,0,94,2003-08-15
36,44,0,330,2003-06-08
36,48,0,227,2002-08-08
23,46,0,2,2002-09-15
35,36,0,208,2002-03-04
29,70,4,37,2002-06-13
37,41,3,433,2002-02-05
24,41,0,273,2003-08-11
30,39,2,217,2003-10-01
26,54,0,233,2002-10-12
36,61,0,278,2003-01-07
30,60,0,136,2002-02-01
38,64,5,128,2003-02-06
33,48,0,509,2003-01-20
23,61,0,153,2002-04-19
21,45,0,39,2002-09-09
34,52,0,285,2003-10-24
27,62,1,545,2003-03-25
40,65,0,347,2002-07-08
24,50,5,219,2003-06-23
35,67,1,199,2003-07-02
27,48,5,241,2003-11-26
37,60,0,544,2002-07-18
39,50,1,133,2002-02-23
35,64,3,498,2002-10-21
29,72,0,100,2003-01-15
35,55,0,0,2003-12-08
38,58,0,42,2003-05-11
29,44,0,242,2003-02-07
36,55,5,178,2003-03-05
38,53,0,402,2003-04-03
35,75,2,149,2002-07-16
35,63,0,502,2002-01-25
33,71,0,189,2002-08-29
22,53,0,0,2003-06-24
36,68,0,216,2003-01-14
40,66,0,506,2003-08-26
27,47,0,314,2002-09-11
40,40,0,341,2003-11-03
28,55,0,412,2002-03-14
24,48,0,127,2002-10-17
26,47,0,395,2002-12-22
27,68,0,443,2003-10-20
39,59,2,0,2002-10-23
21,62,0,542,2003-06-05
32,35,2,173,2003-03-30
36,72,0,268,2002-03-02
24,49,0,272,2003-03-01
21,39,2,584,2002-01-06
26,58,0,397,2002-08-04
40,73,0,519,2002-05-05
22,40,0,0,2002-06-17
29,68,1,386,2003-05-27
29,39,1,405,2003-07-03
35,42,0,152,2003-06-18
27,45,0,76,2002-03-17
23,67,0,0,2003-11-14
24,65,0,511,2002-04-06
23,62,0,75,2003-08-22
38,55,0,586,2003-06-30
26,68,0,294,2002-08-23
27,41,0,240,2002-01-02
32,46,0,204,2003-02-08
20,53,0,357,2003-06-23
36,44,0,391,2002-12-05
29,53,5,0,2003-08-07
30,75,0,72,2003-11-08
27,75,0,288,2003-05-26
25,46,0,68,2003-04-28
31,69,1,196,2003-09-08
25,42,3,266,2002-12-30
20,60,0,178,2002-02-06
30,38,0,547,2003-07-17
40,47,2,592,2002-10-12
40,68,0,0,2003-05-27
40,46,0,295,2002-03-01
20,40,0,397,2002-06-15
33,35,0,44,2002-09-18
32,71,0,519,2003-02-11
31,41,4,483,2002-01-29
21,59,4,478,2003-03-12
38,49,4,424,2002-11-24
28,53,1,262,2002-08-22
30,56,0,64,2002-12-12
21,64,0,70,2002-07-12
27,60,6,139,2003-08-02
30,43,1,70,2002-08-05
39,39,0,251,2002-12-21
32,41,0,96,2002-11-20
30,64,0,10,2003-07-05
33,65,0,0,2002-10-24
30,50,0,490,2003-04-08
23,72,0,569,2002-10-30
34,47,0,287,2003-04-19
29,54,0,403,2003-11-07
25,70,5,394,2002-11-05
20,54,0,119,2002-05-19
37,57,0,193,2002-11-21
40,64,1,215,2003-06-23
29,43,1,443,2002-09-30
37,49,2,70,2002-10-15
22,35,0,293,2002-06-08
37,58,0,371,2003-08-18
37,73,0,293,2003-03-17
24,42,0,599,2003-10-10
22,46,0,132,2003-06-03
25,61,0,355,2003-08-23
36,51,0,535,2002-03-14
36,71,6,470,2003-06-02
40,67,0,121,2002-06-11
24,49,0,10,2002-03-11
22,52,0,206,2003-11-28
32,49,0,44,2003-01-21
39,57,0,336,2002-04-28
35,54,3,146,2003-07-27
21,74,4,0,2003-05-30
37,49,0,89,2002-06-20
38,59,4,578,2002-09-28
27,52,0,73,2002-03-17
27,39,0,260,2002-07-22
40,41,0,0,2002-09-25
34,61,0,292,2003-03-03
25,62,6,456,2002-04-08
35,56,0,591,2002-11-28
24,54,5,274,2003-11-03
38,62,6,516,2003-08-21
26,65,0,129,2002-11-12
25,70,0,278,2003-06-26
32,59,0,2,2002-06-15
23,42,0,306,2002-11-01
38,63,5,584,2002-11-09
21,73,3,345,2003-07-28
32,54,0,375,2002-07-31
29,68,3,548,2003-09-19
28,63,0,205,2003-09-15
38,68,0,341,2002-11-28
32,71,0,599,2002-12-04
29,49,0,123,2003-07-22
40,49,0,514,2002-03-06
24,43,2,426,2002-07-07
27,71,0,76,2003-04-02
21,66,0,0,2002-07-26
40,41,0,84,2003-11-30
30,46,0,16,2003-08-12
40,47,0,105,2003-08-10
23,61,5,244,2002-03-11
21,75,1,422,2003-04-23
25,69,0,152,2003-11-18
20,58,0,0,2002-10-04
40,40,2,95,2002-10-08
22,75,5,360,2002-01-12
20,47,0,402,2003-08-13
30,49,0,75,2003-05-31
26,62,4,0,2003-08-01
