sr,temp,humidity,cases,status,date
242,28,44,413,high,2001-07-29
243,28,49,0,low,2000-06-18
244,23,50,22,low,2000-07-29
245,32,72,7,very low,2000-02-12
246,29,67,138,low,2000-09-10
247,24,60,410,high,2000-11-28
248,20,43,529,very high,2001-03-02
249,37,46,431,medium,2001-02-05
250,33,64,214,low,2000-12-02
251,34,57,222,low,2001-11-03
252,24,67,490,high,2000-05-07
253,39,69,137,very low,2000-12-12
254,39,48,340,low,2001-11-22
255,33,41,545,high,2001-04-10
256,34,58,573,high,2000-08-04
257,37,40,444,medium,2000-02-29
258,25,75,0,low,2001-05-19
259,38,41,584,high,2000-12-20
260,37,47,539,high,2000-10-24
261,37,44,453,medium,2000-03-21
262,31,51,580,high,2000-04-07
263,20,75,411,high,2000-04-16
264,24,43,594,very high,2001-05-23
265,20,45,481,high,2001-02-08
266,32,49,0,very low,2000-08-24
267,22,35,573,very high,2001-01-26
268,32,43,128,very low,2000-09-14
269,20,51,356,low,2000-09-04
270,35,66,312,low,2001-09-05
271,28,41,0,low,2000-03-24
272,22,65,63,low,2000-03-21
273,40,69,0,very low,2001-06-29
274,30,54,0,low,2000-10-30
275,30,52,0,low,2000-01-03
276,39,60,555,high,2000-04-11
277,24,46,317,low,2001-08-03
278,32,43,0,very low,2000-06-10
279,35,66,592,high,2000-08-17
280,34,62,558,high,2001-08-23
281,34,62,0,very low,2000-01-01
282,38,49,308,low,2001-10-19
283,40,74,0,very low,2000-07-25
284,22,70,388,low,2001-11-22
285,38,59,308,low,2000-08-14
286,32,65,65,very low,2001-09-20
287,35,62,280,low,2000-06-26
288,39,45,261,low,2000-07-21
289,28,66,0,low,2000-10-11
290,29,56,135,low,2000-01-04
291,25,69,37,low,2000-12-18
292,30,54,313,very high,2001-11-14
293,39,43,543,high,2000-12-31
294,36,66,90,very low,2001-05-02
295,31,69,492,medium,2001-10-18
296,23,53,0,low,2000-09-28
297,32,54,124,very low,2001-07-20
298,32,63,137,very low,2000-04-02
299,39,40,33,very low,2000-12-24
300,26,43,389,low,2000-11-07
301,20,68,227,low,2000-04-27
302,25,47,0,low,2001-08-02
303,40,59,388,low,2000-03-04
304,21,62,310,low,2001-02-19
305,35,46,0,very low,2000-06-19
306,24,64,191,low,2000-02-15
307,23,42,44,low,2000-11-02
308,37,53,424,medium,2001-09-24
309,28,65,136,low,2001-09-06
310,23,48,24,low,2000-03-31
311,33,75,33,very low,2000-05-27
312,23,42,420,high,2001-09-15
313,20,62,17,low,2001-03-11
314,37,52,11,very low,2001-08-12
315,32,62,365,low,2000-01-30
316,29,38,0,low,2000-04-23
317,25,51,98,low,2001-07-21
318,25,75,140,low,2000-11-29
319,20,57,282,low,2000-05-29
320,38,69,149,very low,2000-04-04
321,40,60,510,high,2000-07-06
322,38,45,365,low,2000-06-20
323,37,44,161,very low,2000-03-14
324,21,52,208,low,2001-06-01
325,29,54,310,very high,2000-02-07
326,32,36,187,very low,2001-02-24
327,39,73,545,high,2000-02-25
328,31,73,327,very high,2000-11-23
329,36,37,349,low,2000-01-27
330,22,71,530,very high,2000-10-26
331,29,59,53,low,2001-11-05
332,24,64,575,very high,2000-07-12
333,31,65,81,low,2000-02-15
334,38,64,100,very low,2001-11-03
335,21,61,418,high,2001-03-09
336,34,47,85,very low,2001-11-07
337,38,58,471,medium,2000-07-13
338,29,70,249,low,2001-06-11
339,39,35,349,low,2000-05-01
340,31,38,62,low,2000-02-15
341,34,55,309,low,2000-06-16
342,31,58,312,very high,2000-07-14
343,30,65,98,low,2000-03-08
344,24,64,389,low,2001-04-08
345,37,69,586,high,2001-04-11
346,33,48,80,very low,2000-08-15
347,33,40,445,medium,2001-06-27
348,26,38,551,high,2000-10-04
349,39,68,552,high,2000-08-19
350,34,52,0,very low,2000-10-15
351,33,56,352,low,2000-12-18
352,27,44,476,high,2001-08-01
353,36,68,217,low,2000-05-09
354,24,74,592,very high,2001-10-04
355,39,36,0,very low,2001-11-28
356,38,59,422,medium,2001-01-04
357,22,66,464,high,2001-07-14
358,29,61,419,medium,2000-09-02
359,23,51,193,low,2001-02-14
360,36,36,342,low,2000-05-18
361,39,69,0,very low,2001-08-31
362,38,66,519,high,2001-03-05
363,28,57,97,low,2000-03-10
364,36,39,0,very low,2000-06-20
365,36,71,267,low,2000-01-31
366,24,65,208,low,2001-10-20
367,25,58,458,high,2001-09-11
368,27,42,109,low,2000-11-29
369,24,45,333,low,2001-05-14
370,37,59,187,very low,2001-07-11
371,39,67,0,very low,2001-09-12
372,20,66,563,very high,2000-06-02
373,25,48,324,low,2001-08-15
374,20,35,106,low,2000-09-19
375,21,53,0,low,2000-01-05
376,31,43,471,medium,2000-09-01
377,23,71,0,low,2001-10-21
378,38,56,170,very low,2000-10-16
379,39,75,81,very low,2000-09-15
380,33,70,569,high,2001-11-09
381,32,72,423,medium,2000-12-19
382,21,43,46,low,2000-01-01
383,24,75,332,low,2001-06-16
384,34,52,256,low,2000-08-29
385,38,44,200,very low,2000-07-04
386,20,69,0,low,2001-09-23
387,39,73,58,very low,2000-04-04
388,34,36,0,very low,2000-07-02
389,28,36,210,low,2000-11-22
390,23,47,240,low,2001-01-23
391,32,53,577,high,2001-08-05
392,22,46,454,high,2000-07-17
393,35,41,382,low,2000-02-20
394,23,58,95,low,2001-10-26
395,33,73,280,low,2001-10-28
396,29,56,480,medium,2001-05-15
397,20,43,176,low,2001-11-01
398,24,53,0,low,2000-08-06
399,37,69,266,low,2000-01-22
400,31,75,331,very high,2001-03-30
401,38,66,347,low,2001-09-08
402,38,48,367,low,2000-01-06
403,26,62,457,high,2001-10-24
404,22,40,93,low,2001-10-21
405,30,67,12,low,2000-12-09
406,28,61,37,low,2000-05-01
407,31,43,457,medium,2001-11-25
408,31,61,212,low,2001-08-18
409,32,37,255,low,2001-01-02
410,36,50,529,high,2000-02-28
411,29,58,44,low,2000-06-29
412,20,53,347,low,2000-09-28
413,20,64,6,low,2000-04-03
414,30,70,153,low,2001-05-17
415,40,47,588,high,2000-09-05
416,27,45,550,high,2000-04-02
417,25,75,61,low,2001-06-08
418,28,38,0,low,2000-11-21
419,24,45,79,low,2000-09-21
420,27,56,62,low,2000-01-14
421,29,62,196,low,2001-11-14
422,28,43,286,low,2001-12-04
423,38,57,344,low,2000-06-16
424,32,63,540,high,2001-05-07
425,29,53,582,high,2000-04-19
426,32,53,131,very low,2000-11-12
427,23,62,539,very high,2001-06-06
428,26,59,194,low,2001-11-25
429,23,58,452,high,2000-08-06
430,38,63,215,low,2001-07-20
431,34,36,437,medium,2000-09-13
432,39,64,43,very low,2001-01-16
433,22,51,559,very high,2001-10-18
434,29,35,254,low,2000-12-08
435,36,42,425,medium,2000-09-07
436,26,68,275,low,2000-07-31
437,38,42,397,low,2001-08-06
438,24,67,0,low,2001-03-29
439,28,49,473,high,2000-02-19
440,38,65,0,very low,2001-04-14
441,33,60,545,high,2000-06-29
442,36,37,224,low,2001-01-27
443,20,66,71,low,2001-10-06
444,27,60,380,low,2000-01-05
445,39,54,66,very low,2000-09-25
446,22,57,408,high,2000-07-19
447,35,60,0,very low,2001-12-05
448,28,55,282,low,2001-09-23
449,23,37,555,very high,2000-03-09
450,21,64,477,high,2001-09-28
451,37,69,100,very low,2000-10-28
452,27,59,209,low,2001-01-05
453,28,54,465,high,2001-10-05
454,34,43,454,medium,2001-10-23
455,33,50,156,very low,2000-06-15
456,25,65,346,low,2000-08-04
457,24,73,396,low,2000-12-31
458,27,60,101,low,2000-01-08
459,38,41,0,very low,2001-04-27
460,32,55,152,very low,2000-09-18
461,28,70,481,high,2000-09-21
462,40,40,0,very low,2001-06-18
463,20,60,124,low,2001-01-03
464,39,58,81,very low,2000-10-09
465,34,69,549,high,2000-08-01
466,30,47,194,low,2000-08-11
467,22,63,63,low,2001-02-03
468,23,63,418,high,2000-11-22
469,40,37,58,very low,2001-02-25
470,27,48,68,low,2000-10-11
471,35,59,453,medium,2001-06-29
472,28,41,237,low,2000-05-16
473,27,65,125,low,2001-07-11
474,22,48,358,low,2001-01-23
475,21,52,353,low,2001-04-18
476,31,37,513,high,2001-02-27
477,21,47,385,low,2000-08-06
478,21,43,279,low,2001-06-26
479,23,51,295,low,2000-06-16
480,37,45,126,very low,2000-12-10
481,25,57,386,low,2001-02-05
482,32,56,355,low,2001-12-09
483,32,53,322,low,2001-11-28
484,34,49,154,very low,2000-07-25
485,25,47,234,low,2001-02-15
486,21,42,240,low,2001-08-06
487,28,66,123,low,2000-05-19
488,23,71,0,low,2000-06-09
489,23,69,327,low,2000-04-02
490,33,48,0,very low,2000-01-28
491,23,45,77,low,2001-05-12
492,29,54,386,very high,2000-07-31
493,26,67,82,low,2001-11-02
494,35,56,396,low,2000-07-17
495,31,54,141,low,2000-05-20
496,30,37,341,very high,2001-02-05
497,20,35,0,low,2000-07-28
498,24,67,0,low,2001-06-17
499,30,72,132,low,2000-03-08
500,39,66,161,very low,2000-11-23
501,32,56,71,very low,2000-11-21
502,26,38,0,low,2001-06-17
503,37,53,567,high,2000-03-26
504,39,67,214,low,2001-02-05
505,22,37,243,low,2000-05-30
506,30,67,306,very high,2001-04-08
507,40,70,228,low,2001-06-04
508,31,42,557,high,2001-07-26
509,23,36,459,high,2000-12-21
510,32,46,435,medium,2001-06-27
511,25,35,589,high,2001-06-22
512,32,43,47,very low,2000-02-06
513,28,63,6,low,2001-03-03
514,35,75,547,high,2000-07-08
515,23,70,401,high,2001-09-20
516,32,41,281,low,2001-09-14
517,35,75,9,very low,2001-01-17
518,35,54,329,low,2000-07-24
519,38,41,563,high,2001-06-12
520,37,62,268,low,2000-03-10
521,20,35,446,high,2000-09-26
522,30,53,199,low,2001-07-07
523,31,60,488,medium,2000-10-06
524,38,41,566,high,2000-06-06
525,20,44,539,very high,2000-05-14
526,39,38,13,very low,2001-05-07
527,38,70,0,very low,2000-04-10
528,24,46,58,low,2001-01-25
529,28,41,327,low,2001-11-11
530,29,65,0,low,2000-11-26
531,21,35,558,very high,2000-09-01
532,23,49,61,low,2000-04-09
533,34,36,475,medium,2000-04-07
534,32,71,453,medium,2001-08-21
535,32,75,250,low,2001-08-12
536,31,45,213,low,2000-11-11
537,27,60,199,low,2000-01-31
538,39,39,88,very low,2000-06-11
539,38,75,146,very low,2000-01-30
540,40,36,294,low,2000-11-13
541,21,47,539,very high,2001-03-15
542,21,41,139,low,2001-12-04
543,38,74,580,high,2000-02-29
544,25,44,46,low,2000-07-20
545,25,56,472,high,2000-02-10
546,34,64,389,low,2000-09-12
547,24,45,52,low,2000-09-27
548,20,39,345,low,2001-06-17
549,31,72,542,high,2000-07-30
550,30,37,0,low,2001-05-14
551,20,38,192,low,2000-03-26
552,37,59,0,very low,2000-02-11
553,31,66,0,low,2001-03-16
554,23,52,406,high,2001-07-01
555,37,51,289,low,2001-01-18
556,27,58,0,low,2001-06-09
557,20,36,362,low,2001-04-03
558,39,68,88,very low,2001-05-26
559,21,72,547,very high,2001-07-31
560,34,56,579,high,2001-04-05
561,34,48,348,low,2001-04-06
562,20,63,366,low,2001-10-25
563,20,39,109,low,2001-07-12
564,22,50,437,high,2001-08-21
565,40,66,242,low,2000-03-31
566,27,35,564,high,2000-03-30
567,37,52,427,medium,2001-10-19
568,34,72,377,low,2001-10-10
569,30,36,18,low,2001-10-18
570,32,55,561,high,2001-03-05
571,22,48,292,low,2001-04-18
572,38,62,524,high,2000-10-08
573,33,50,245,low,2001-05-19
574,37,44,595,high,2000-06-26
575,33,63,33,very low,2001-09-30
576,24,50,132,low,2001-10-07
577,40,73,522,high,2000-10-08
578,40,64,0,very low,2001-06-20
579,32,45,332,low,2001-06-09
580,20,43,0,low,2000-11-08
581,25,59,231,low,2000-11-12
582,22,57,507,very high,2001-10-11
583,23,45,0,low,2001-06-13
584,39,43,248,low,2000-10-12
585,27,54,0,low,2000-10-16
586,34,75,239,low,2001-09-16
587,29,64,113,low,2001-10-09
588,24,64,93,low,2000-08-13
589,28,56,229,low,2000-07-07
590,28,72,6,low,2000-07-11
591,40,55,322,low,2001-06-20
592,24,35,112,low,2000-11-06
593,31,58,433,medium,2000-09-07
594,24,48,569,very high,2000-11-17
595,24,61,356,low,2001-09-27
596,33,47,393,low,2000-12-11
597,39,51,249,low,2000-12-01
598,30,65,500,high,2000-04-02
599,31,37,432,medium,2001-11-21
600,31,73,38,low,2001-04-12
601,27,67,0,low,2001-09-29
602,37,70,59,very low,2000-11-24
603,36,74,175,very low,2000-03-01
604,37,45,130,very low,2001-05-19
605,40,51,247,low,2000-02-15
606,22,75,215,low,2000-02-18
607,20,41,109,low,2000-02-24
608,35,48,430,medium,2001-05-28
609,22,60,521,very high,2000-07-29
610,23,65,597,very high,2000-12-17
611,31,74,227,low,2001-06-17
612,37,51,523,high,2001-03-23
613,30,50,225,low,2001-05-23
614,37,57,583,high,2000-05-24
615,23,43,0,low,2001-04-29
616,37,36,570,high,2000-04-22
617,39,56,374,low,2000-04-06
618,34,40,585,high,2000-07-17
619,36,40,0,very low,2001-09-19
620,23,41,380,low,2000-08-21
621,22,61,543,very high,2000-04-27
622,27,74,435,high,2001-06-24
623,34,71,246,low,2001-10-11
624,25,50,553,high,2001-09-10
625,24,36,600,very high,2001-01-28
626,29,51,413,medium,2000-04-14
627,32,43,0,very low,2000-03-05
628,24,40,135,low,2000-06-14
629,33,61,24,very low,2000-06-17
630,27,75,195,low,2000-05-17
631,37,65,0,very low,2000-05-23
632,38,71,80,very low,2000-06-26
633,34,39,431,medium,2001-10-02
634,40,68,240,low,2000-05-31
635,36,64,598,high,2000-09-23
636,34,49,56,very low,2001-08-19
637,20,49,101,low,2001-05-24
638,38,49,0,very low,2000-11-03
639,20,39,361,low,2000-08-07
640,35,38,52,very low,2000-08-03
641,22,70,520,very high,2001-04-06
642,31,47,297,low,2000-01-28
643,31,44,411,medium,2000-03-24
644,37,37,0,very low,2000-05-05
645,23,48,551,very high,2000-11-11
646,29,72,316,very high,2000-09-02
647,21,39,546,very high,2001-05-21
648,30,62,437,medium,2001-07-02
649,28,54,354,low,2000-03-03
650,32,56,297,low,2000-08-04
651,25,72,127,low,2001-06-29
652,20,67,323,low,2000-12-23
653,22,53,5,low,2001-03-12
654,35,45,362,low,2001-09-19
655,39,52,595,high,2001-11-08
656,39,75,60,very low,2000-03-22
657,21,70,211,low,2001-08-21
658,37,54,76,very low,2001-08-07
659,34,53,503,high,2000-02-14
660,39,39,477,medium,2001-03-31
661,25,71,384,low,2000-02-27
662,28,36,28,low,2000-11-17
663,31,64,208,low,2000-07-11
664,23,37,272,low,2000-09-11
665,36,59,557,high,2000-03-25
666,39,41,499,medium,2000-08-13
667,37,65,267,low,2001-04-18
668,21,72,354,low,2000-03-23
669,37,67,588,high,2001-07-12
670,31,73,279,low,2001-04-16
671,31,72,30,low,2001-09-01
672,36,40,230,low,2001-08-01
673,34,44,405,medium,2000-12-27
674,21,63,528,very high,2001-09-20
675,31,64,18,low,2001-11-29
676,40,65,448,medium,2001-04-21
677,28,64,109,low,2000-12-17
678,33,64,0,very low,2000-04-26
679,29,54,421,medium,2001-03-20
680,37,54,70,very low,2001-07-18
681,22,40,527,very high,2001-04-10
682,31,67,534,high,2000-01-03
683,37,65,153,very low,2000-05-23
684,30,62,144,low,2000-07-05
685,23,57,253,low,2001-07-11
686,28,55,408,high,2001-01-11
687,29,45,400,low,2000-07-11
688,39,53,55,very low,2001-04-06
689,31,40,479,medium,2000-01-23
690,25,75,279,low,2001-10-05
691,34,75,223,low,2001-03-20
692,28,38,254,low,2000-10-14
693,34,57,381,low,2000-06-15
694,20,48,134,low,2000-02-26
695,22,73,319,low,2000-09-18
696,29,72,343,very high,2001-04-03
697,38,54,144,very low,2000-08-09
698,29,44,102,low,2000-10-31
699,36,41,285,low,2000-01-08
700,20,40,226,low,2000-11-14
701,28,74,221,low,2000-08-13
702,34,66,0,very low,2001-02-14
703,39,54,584,high,2000-07-05
704,34,66,203,low,2001-03-01
705,32,71,63,very low,2000-11-24
706,27,62,197,low,2001-10-06
707,24,71,141,low,2000-09-25
708,40,67,0,very low,2000-07-18
709,40,51,364,low,2000-06-27
710,38,42,495,medium,2000-02-12
711,36,44,387,low,2000-11-01
712,31,38,0,low,2001-09-27
713,37,66,330,low,2000-01-11
714,40,67,414,medium,2001-06-15
715,23,39,269,low,2000-09-22
716,27,57,142,low,2000-08-04
717,39,42,185,very low,2000-09-18
718,40,42,35,very low,2001-03-26
719,36,40,26,very low,2000-10-12
720,33,73,87,very low,2001-03-25
721,38,73,165,very low,2001-09-15
722,29,64,164,low,2000-03-05
723,32,52,102,very low,2001-04-03
724,29,57,308,very high,2000-06-22
725,39,42,222,low,2001-04-02
726,32,64,0,very low,2001-08-01
727,24,71,532,very high,2001-04-03
728,34,50,536,high,2000-04-02
729,38,53,99,very low,2000-06-11
730,33,58,535,high,2000-10-26
731,25,62,362,low,2001-11-24
733,30,65,0,low,2003-08-14
734,21,72,580,very high,2002-05-06
735,24,47,0,low,2003-01-24
736,33,65,34,very low,2002-07-06
737,36,45,442,medium,2002-09-26
738,33,38,565,high,2003-06-07
739,36,35,469,medium,2002-04-28
740,26,37,231,low,2002-09-26
741,29,61,562,high,2002-10-30
742,36,75,547,high,2003-06-07
743,27,53,223,low,2003-05-22
744,31,55,129,low,2002-01-27
745,37,69,74,very low,2002-02-24
746,27,42,102,low,2003-07-08
747,24,56,440,high,2003-08-29
748,29,45,84,low,2003-08-16
749,34,72,323,low,2003-02-19
750,40,41,102,very low,2002-12-19
751,31,68,0,low,2003-08-24
752,37,63,93,very low,2003-12-08
753,26,43,146,low,2003-11-12
754,36,68,173,very low,2002-05-25
755,34,55,102,very low,2003-08-20
756,32,61,511,high,2002-03-26
757,23,73,420,high,2002-12-07
758,25,59,389,low,2003-06-01
759,38,69,136,very low,2003-09-19
760,32,66,168,very low,2002-03-07
761,24,69,471,high,2003-09-15
762,23,45,400,low,2002-03-15
763,21,49,393,low,2002-09-04
764,29,70,0,low,2003-11-29
765,39,60,557,high,2002-08-04
766,26,44,321,low,2003-08-04
767,36,68,210,low,2003-02-26
768,33,46,465,medium,2002-02-07
769,33,69,0,very low,2002-01-22
770,20,71,411,high,2003-03-26
771,32,52,0,very low,2003-05-03
772,25,67,522,high,2002-04-13
773,28,63,126,low,2003-08-31
774,24,72,330,low,2002-11-29
775,33,64,243,low,2002-12-25
776,27,74,370,low,2003-10-25
777,23,74,235,low,2002-12-12
778,32,44,148,very low,2003-06-22
779,20,38,94,low,2003-08-15
780,36,44,330,low,2003-06-08
781,36,48,227,low,2002-08-08
782,23,46,2,low,2002-09-15
783,35,36,208,low,2002-03-04
784,29,70,37,low,2002-06-13
785,37,41,433,medium,2002-02-05
786,24,41,273,low,2003-08-11
787,30,39,217,low,2003-10-01
788,26,54,233,low,2002-10-12
789,36,61,278,low,2003-01-07
790,30,60,136,low,2002-02-01
791,38,64,128,very low,2003-02-06
792,33,48,509,high,2003-01-20
793,23,61,153,low,2002-04-19
794,21,45,39,low,2002-09-09
795,34,52,285,low,2003-10-24
796,27,62,545,high,2003-03-25
797,40,65,347,low,2002-07-08
798,24,50,219,low,2003-06-23
799,35,67,199,very low,2003-07-02
800,27,48,241,low,2003-11-26
801,37,60,544,high,2002-07-18
802,39,50,133,very low,2002-02-23
803,35,64,498,medium,2002-10-21
804,29,72,100,low,2003-01-15
805,35,55,0,very low,2003-12-08
806,38,58,42,very low,2003-05-11
807,29,44,242,low,2003-02-07
